Food ID,Food Name,Serving Size,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Sugars,Protein,Vitamin D,Vitamin A,Vitamin C,Vitamin B,Vitamin E,Calcium,Iron,Potassium
4189,Baklava,100 g,428,29.03 g,12.224,0.0,45,324 mg,37.62,2.6,12.71,6.7,0.0,143,1.4,0,0,39,2.08,172
19397154,Bibimbap,1 bowl,340,6.00 g,1.5,0.0,25,780 mg,56.0,3.0,18.0,13.0,0.0,0,0.0,0,0,0,0.0,0
4562022,Carrot Cake,1 slice,610,32.00 g,12.0,0.5,85,400 mg,77.0,3.0,52.0,6.0,0.0,0,0.0,0,0,0,0.0,0
38873,Cheesecake,100 g,321,22.50 g,9.921,0.0,55,207 mg,25.5,0.4,0.0,5.5,0.0,142,0.4,0,0,51,0.63,90
2261,Chicken Curry,100 g,124,6.67 g,1.358,0.0,35,484 mg,4.74,0.9,2.07,11.47,0.0,63,5.1,0,0,17,0.94,249
1714,Chicken Wings,100 g,288,19.30 g,5.405,0.0,83,404 mg,0.0,0.0,0.0,26.64,0.0,47,0.0,0,0,15,1.26,183
38840,Chocolate Cake,100 g,367,16.40 g,4.771,0.0,42,334 mg,54.6,2.8,0.0,4.1,0.0,26,0.1,0,0,43,2.2,200
1227,Chocolate Mousse,100 g,209,15.11 g,8.676,0.0,138,39 mg,16.1,0.6,14.68,4.16,0.0,150,0.2,0,0,98,0.54,145
4223,Churros,100 g,447,28.28 g,7.719,0.0,7,144 mg,45.94,0.7,25.19,2.79,0.0,21,0.0,0,0,6,1.25,30
4322117,Creme Brulee,100 g,336,26.79 g,15.823,0.0,237,32 mg,21.91,0.0,19.87,3.38,1.0,308,0.4,0,0,63,0.36,68
39134,Cupcakes,100 g,305,3.70 g,1.084,0.0,0,413 mg,67.2,4.3,0.0,4.3,0.0,0,0.0,0,0,36,1.54,224
38969,Donuts,100 g,426,22.90 g,5.926,0.0,32,402 mg,50.8,1.5,0.0,5.2,0.0,3,0.1,0,0,60,1.06,102
4926,Dumplings,100 g,112,2.64 g,0.74,0.0,48,435 mg,9.56,0.5,0.57,11.55,0.0,13,1.3,0,0,19,1.38,188
36575,Edamame,100 g,81,4.45 g,0.617,0.0,0,10 mg,6.53,0.8,0.43,8.47,0.0,2,8.3,0,0,59,1.31,355
1941,Fish and Chips,100 g,199,11.37 g,2.392,0.0,66,130 mg,6.71,0.2,0.41,16.72,0.0,17,0.4,0,0,33,0.72,326
5762,French Fries,100 g,274,14.06 g,3.278,0.0,0,300 mg,35.66,3.3,0.58,3.48,0.0,0,5.4,0,0,13,1.21,527
4384,Plain French Toast,100 g,244,9.43 g,2.439,0.0,138,492 mg,30.8,1.2,7.49,8.59,0.0,55,0.0,0,0,117,2.49,123
5099,Fried Rice,100 g,168,6.23 g,1.137,0.0,52,415 mg,21.06,0.7,0.76,6.3,0.0,21,1.7,0,0,19,1.39,102
865,Frozen Yogurt,100 g,107,1.47 g,0.94,0.0,5,60 mg,19.62,0.3,19.06,4.7,0.0,12,0.7,0,0,159,0.23,228
3469,Garlic Bread,100 g,330,12.78 g,2.466,0.0,0,610 mg,45.62,2.7,0.42,7.75,0.0,106,0.2,0,0,66,2.22,109
2058,Grilled Salmon,100 g,139,4.30 g,1.054,0.0,55,58 mg,0.0,0.0,0.0,23.45,0.0,38,1.4,0,0,45,0.61,434
58704864,Gyoza,4 gyoza,120,2.50 g,0.0,0.0,0,280 mg,17.0,2.0,1.0,7.0,0.0,0,0.0,0,0,30,1.6,190
40406,Hamburger,100 g,254,20.00 g,7.672,1.232,71,67 mg,0.0,0.0,0.0,17.17,0.0,0,0.0,0,0,18,1.94,270
1107,Ice Cream,100 g,201,10.72 g,6.618,0.0,40,74 mg,24.4,0.7,22.3,3.52,0.0,110,0.6,0,0,126,0.14,202
4989,Lasagna,100 g,163,6.01 g,3.099,0.0,24,361 mg,17.2,1.3,2.72,9.96,0.0,36,3.5,0,0,120,1.39,190
5057,Macaroni and Cheese,100 g,203,9.40 g,3.961,0.0,17,392 mg,21.46,1.1,3.59,7.94,0.0,90,0.0,0,0,155,1.0,135
25545924,Macarons,2 cookies,100,5.00 g,1.5,0.0,15,15 mg,12.0,1.0,11.0,2.0,0.0,0,0.0,0,0,0,0.0,50
3301,Miso Soup,100 g,35,1.40 g,0.259,0.0,0,416 mg,3.24,0.8,1.08,2.51,0.0,97,1.9,0,0,26,0.76,153
39915,Nachos,100 g,306,16.77 g,6.885,0.0,16,722 mg,32.15,0.0,0.0,8.05,0.0,132,1.1,0,0,241,1.13,152
6847018,Omelette,1 serving,300,27.00 g,11.0,0.0,500,500 mg,2.0,0.0,0.0,20.0,0.0,0,0.0,0,0,0,0.0,0
39967,Onion Rings,100 g,332,18.69 g,8.377,0.0,17,518 mg,37.74,0.0,0.0,4.46,0.0,1,0.7,0,0,88,1.02,156
2165,Oysters,100 g,68,2.46 g,0.772,0.0,53,211 mg,3.91,0.0,0.0,7.05,0.0,30,3.7,0,0,45,6.66,156
4303280,Panna Cotta,100 g,223,12.33 g,7.677,0.0,45,38 mg,23.38,0.0,22.23,1.08,0.0,137,0.2,0,0,25,0.03,37
145482,Ramen,1/2 block noodles with seasoning,190,7.00 g,3.5,0.0,0,830 mg,27.0,1.0,1.0,4.0,0.0,0,0.0,0,0,0,10.0,0
4956,Samosa,100 g,308,17.86 g,3.932,0.0,9,816 mg,32.21,1.7,1.26,4.67,0.0,45,4.5,0,0,27,1.78,185
64687278,Seaweed Salad,100 g,81,2.10 g,0.38,0.0,0,991 mg,13.91,1.0,2.21,2.98,0.0,9,2.9,0,0,134,2.32,101
499712,Spring Rolls,100 g,98,4.43 g,0.871,0.0,36,324 mg,11.63,1.0,1.18,3.1,0.0,16,3.9,0,0,18,0.98,117
5104,Sushi,100 g,143,0.42 g,0.087,0.0,3,596 mg,29.9,0.8,6.27,4.3,0.0,45,2.0,0,0,19,1.36,129
4823,Tacos,100 g,283,16.22 g,5.031,0.0,40,592 mg,20.77,2.7,0.6,13.95,0.0,23,0.6,0,0,115,1.93,229
39070,Waffles,100 g,291,14.10 g,2.866,0.0,69,511 mg,32.9,0.0,0.0,7.9,0.0,65,0.4,0,0,255,2.31,159
5873757,Pad Thai,100 g,170,6.38 g,1.049,0.012,47,442 mg,22.49,1.5,1.18,5.79,0.0,53,4.1,0,0,28,1.19,132
39009,Pancakes,100 g,227,9.70 g,2.122,0.0,59,439 mg,28.3,0.0,0.0,6.4,0.0,54,0.3,0,0,219,1.8,132
34525,Peking Duck,100 g,337,28.35 g,9.67,0.0,84,59 mg,0.0,0.0,0.0,18.99,0.0,63,0.0,0,0,11,2.7,204
4881,Cheese Pizza,100 g,276,11.74 g,5.005,0.0,24,537 mg,30.33,1.9,3.56,12.33,0.0,79,0.3,0,0,210,1.86,161
6098856,Red Velvet Cake,100 g,367,17.18 g,5.076,0.0,54,311 mg,46.81,1.4,17.37,6.81,0.0,74,0.1,0,0,38,0.96,106
70594,Risotto,1/2 cup cooked,140,1.50 g,0.5,0.0,5,490 mg,27.0,1.0,1.0,5.0,0.0,0,0.0,0,0,0,0.0,72
437027,Salmon Sashimi,100 g,146,5.93 g,1.26,0.0,45,46 mg,0.0,0.0,0.0,21.62,0.0,30,1.0,0,0,36,0.56,423
2173,Scallops,100 g,217,10.96 g,2.216,0.0,54,487 mg,10.49,0.5,0.82,18.14,0.0,22,2.3,0,0,48,0.92,337
4524271,Spaghetti Bolognese,100 g,146,5.11 g,0.94,0.099,12,205 mg,18.18,1.7,2.81,7.12,0.0,11,3.9,0,0,16,1.59,251
5071,Spaghetti Carbonara,100 g,191,5.31 g,1.831,0.0,47,215 mg,25.72,1.5,0.92,8.05,0.0,15,0.4,0,0,31,1.35,93
37657,Steak,100 g,201,12.71 g,5.127,0.0,47,52 mg,0.0,0.0,0.0,20.3,0.0,0,0.0,0,0,24,1.48,315
3929,Strawberry Shortcake,100 g,179,4.29 g,2.0,0.0,92,95 mg,33.65,1.1,30.29,3.3,0.0,47,22.7,0,0,27,0.85,99
5796962,Takoyaki,100 g,175,7.56 g,1.068,0.0,87,267 mg,17.77,0.7,0.48,8.45,0.0,42,2.8,0,0,31,1.96,164
1234,Tiramisu,100 g,283,18.20 g,10.532,0.0,167,85 mg,24.41,0.9,16.82,4.77,0.0,150,0.7,0,0,50,1.29,129
15040634,Chicken Porridge,100 g,155,5.16 g,1.397,0.054,30,244 mg,15.05,0.8,0.08,11.48,0.0,15,1.4,0,0,16,0.88,169
10486129,Gado-Gado,100 g,132,7.41 g,1.386,0.0,78,126 mg,10.9,2.9,1.84,7.14,0.0,74,14.9,0,0,56,1.58,312
450773,Ikan Bakar,100 g,109,1.18 g,0.256,0.0,75,347 mg,0.28,0.0,0.08,22.6,0.0,24,1.7,0,0,14,0.35,351
12892727,Chicken Noodle,100 g,175,7.81 g,0.989,0.017,44,16 mg,19.25,1.0,0.55,6.96,0.0,11,0.7,0,0,14,1.28,60
2973,Oxtail Soup,100 g,28,1.01 g,0.5,0.0,1,478 mg,3.54,0.2,0.98,1.11,0.0,0,0.0,0,0,4,0.1,33
14961724,Chicken Soto,100 g,130,6.19 g,1.601,0.0,53,87 mg,8.11,0.7,0.41,9.96,0.0,27,1.5,0,0,19,1.34,124
2181,Fried Shrimp,100 g,245,12.26 g,2.589,0.0,183,487 mg,11.77,0.5,0.54,20.7,0.0,62,1.4,0,0,65,2.99,197
2280,Sweet and Sour Shrimp,100 g,269,16.84 g,2.134,0.0,58,1275 mg,25.12,0.7,22.44,6.56,0.0,7,3.7,0,0,46,1.32,188
5912605,Rendang,100 g,195,11.07 g,6.482,0.0,29,184 mg,4.49,1.7,1.31,19.68,0.0,2,6.0,0,0,30,2.38,373
2221,nasi kuning,1,796,34.40 g,6.521,0.0,341,1897 mg,96.06,2.8,6.01,26.24,0.0,165,29.1,0,0,291,15.8,228
2224,kupat tahu,1,1077,78.85 g,7.887,3.32,29,461` mg,230.54,7.8,71.88,45.0,0.0,86,4.6,0,0,426,7.19,396
33333,ayam bakar,1,207,4.16 g,1.151,0.0,102,580 mg,1.0,0.1,0.31,38.65,0.0,8,0.6,0,0,19,1.26,263
455522,bubur kacang hijau,1,565,3.63 g,0.66,0.0,0,295 mg,110.43,33.4,56.73,34.36,0.0,1839,326.8,0,0,467,15.87,3281
899777,nasi uduk,1,683,32.62 g,18.888,0.0,89,742 mg,82.54,4.0,4.35,17.85,0.0,39,4.7,0,0,96,4.67,64
rawon,rawon,1,244,12.79 g,5.766,0.0,21,1933 mg,15.56,1.5,3.08,18.4,0.0,2,1.2,0,0,27,3.24,2358
546030,Meatball,100 g,202,13.16 g,4.978,0.731,74,478 mg,7.58,0.5,1.51,12.41,0.0,15,0.8,0,0,46,1.77,213
39955,Hot Dog,100 g,247,14.84 g,5.213,0.0,45,684 mg,18.4,0.0,0.0,10.6,0.0,0,0.1,0,0,24,2.36,146
12333,satay,1,592,16.91 g,2.649,0.0,86,1800 mg,69.86,2.3,13.51,39.61,,762,40.4,0,0,122,6.28,444
38365,Tempeh,100 g,196,11.38 g,3.4,0.0,0,14 mg,9.35,0.0,0.0,18.19,0.0,0,0.0,0,0,96,2.13,401
